,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
71,2023.03.31,07:46:40,38.1372 ,37.1987,0.4 ,-.-,-.-,2.1,GUPLUCE-ELBISTAN (KAHRAMANMARAS)
72,2023.03.31,07:33:47,37.9290 ,37.1585,3.0 ,-.-,-.-,1.5,AMBAR-EKINOZU (KAHRAMANMARAS)
73,2023.03.31,07:29:05,37.9147 ,36.2640,5.0 ,-.-,-.-,2.9,HACIKODAL-GOKSUN (KAHRAMANMARAS)
74,2023.03.31,07:21:29,37.1297 ,36.9320,4.7 ,-.-,-.-,1.9,ATAKOY-NURDAGI (GAZIANTEP)
75,2023.03.31,07:13:56,38.1665 ,36.6010,2.2 ,-.-,-.-,1.5,YENIYAPAN-GOKSUN (KAHRAMANMARAS)
76,2023.03.31,07:11:53,36.0360 ,35.9545,7.5 ,-.-,-.-,3.0,MEYDAN-SAMANDAG (HATAY)
77,2023.03.31,07:10:35,38.2515 ,38.5297,5.0 ,-.-,-.-,2.3,GULUMUSAGI-(MALATYA)
78,2023.03.31,06:59:30,36.9827 ,28.5238,1.4 ,-.-,-.-,2.1,CORUS-ULA (MUGLA)
79,2023.03.31,06:43:49,37.9568 ,36.2520,6.1 ,-.-,-.-,1.9,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
80,2023.03.31,06:41:27,38.2303 ,37.8565,5.0 ,-.-,-.-,1.6,DEDEYAZI-DOGANSEHIR (MALATYA)
81,2023.03.31,06:39:23,37.9305 ,36.2665,4.9 ,-.-,-.-,1.7,HACIKODAL-GOKSUN (KAHRAMANMARAS)
82,2023.03.31,06:35:01,38.4805 ,37.5770,5.3 ,-.-,-.-,1.0,BALABAN-DARENDE (MALATYA)
83,2023.03.31,06:26:27,37.9392 ,36.2435,5.0 ,-.-,-.-,2.1,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
84,2023.03.31,06:24:10,37.8457 ,36.6347,5.3 ,-.-,-.-,1.7,DONGEL-(KAHRAMANMARAS)
85,2023.03.31,06:13:11,37.9395 ,36.2503,2.2 ,-.-,-.-,1.5,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
86,2023.03.31,06:00:17,38.4670 ,39.2327,0.0 ,-.-,-.-,2.9,ALINCIK-SIVRICE (ELAZIG)
87,2023.03.31,05:50:55,37.6978 ,35.3913,4.3 ,-.-,-.-,1.7,KUP-ALADAG (ADANA)
88,2023.03.31,05:43:39,38.2383 ,37.9550,5.0 ,-.-,-.-,2.0,OREN-AKCADAG (MALATYA)
89,2023.03.31,05:40:46,38.1447 ,36.8472,1.3 ,-.-,-.-,1.2,KARGABUKU-AFSIN (KAHRAMANMARAS)
90,2023.03.31,05:36:29,37.1740 ,36.7235,7.9 ,-.-,-.-,1.5,NURDAGI (GAZIANTEP)
91,2023.03.31,05:29:23,37.9580 ,36.4263,3.5 ,-.-,-.-,2.0,FINDIKLIKOYAK-GOKSUN (KAHRAMANMARAS)
92,2023.03.31,05:18:17,38.3792 ,39.3792,5.4 ,-.-,-.-,2.9,BASKAYNAK-SIVRICE (ELAZIG)
93,2023.03.31,04:52:57,37.9573 ,36.3533,9.3 ,-.-,-.-,1.4,SIRMALI-GOKSUN (KAHRAMANMARAS)
94,2023.03.31,04:50:50,38.0062 ,37.5182,5.4 ,-.-,-.-,1.8,TATLAR-NURHAK (KAHRAMANMARAS)
95,2023.03.31,04:42:42,36.5832 ,28.1428,1.7 ,-.-,-.-,1.7,BOZBURUN ACIKLARI-MUGLA (AKDENIZ)
96,2023.03.31,04:36:59,37.9698 ,36.2925,7.6 ,-.-,-.-,1.3,KAZANDERE-GOKSUN (KAHRAMANMARAS)
97,2023.03.31,04:36:08,36.3900 ,28.6585,5.0 ,-.-,-.-,2.2,AKDENIZ
98,2023.03.31,04:33:25,38.0373 ,37.4133,5.0 ,-.-,-.-,3.0,AGCASAR-NURHAK (KAHRAMANMARAS)
99,2023.03.31,04:17:11,39.1630 ,29.0048,8.3 ,-.-,-.-,1.7,KARACAOREN-SIMAV (KUTAHYA)
100,2023.03.31,04:16:33,38.1155 ,36.2502,1.4 ,-.-,-.-,2.9,BEYPINARI-SAIMBEYLI (ADANA)
101,2023.03.31,03:59:51,37.5202 ,37.1895,4.3 ,-.-,-.-,1.6,SOGUTLU-PAZARCIK (KAHRAMANMARAS)
102,2023.03.31,03:56:48,36.9948 ,28.3523,9.1 ,-.-,-.-,1.4,GOKCE-ULA (MUGLA)
103,2023.03.31,03:44:21,38.0607 ,38.3653,0.4 ,-.-,-.-,1.8,KORUCAK-CELIKHAN (ADIYAMAN)
